Date,Live,Dead,Total
,,,
4-Oct-22,4,NA,4
12-Oct-22,84,NA,84
14-Oct-22,246,NA,246
16-Oct-22,309,NA,309
18-Oct-22,206,NA,206
24-Oct-22,371,NA,371
28-Oct-22,184,NA,184
3-Nov-22,118,NA,118
,,,
5-Oct-21,9,NA,9
13-Oct-21,25,NA,25
15-Oct-21,39,NA,39
17-Oct-21,16,NA,16
19-Oct-21,16,NA,16
22-Oct-21,9,NA,9
25-Oct-21,10,NA,10
29-Oct-21,3,NA,3
4-Nov-21,0,NA,0
,,,
25-Sep-20,9,NA,9
6-Oct-20,412,NA,412
10-Oct-20,447,NA,447
14-Oct-20,596,NA,596
18-Oct-20,465,NA,465
20-Oct-20,383,NA,383
23-Oct-20,365,NA,365
26-Oct-20,472,NA,472
30-Oct-20,305,NA,305
6-Nov-20,190,NA,190
,,,
,,,
,,,
27-Sep-19,0,0,0
4-Oct-19,10,0,10
9-Oct-19,8,0,8
13-Oct-19,13,0,13
16-Oct-19,63,2,65
19-Oct-19,28,0,28
22-Oct-19,13,0,13
25-Oct-19,6,0,6
30-Oct-19,14,1,15
,,,
,,,
,,,
28-Sep-18,,,
3-Oct-18,17,1,18
6-Oct-18,64,0,64
11-Oct-18,101,1,102
14-Oct-18,97,0,97
17-Oct-18,99,0,99
21-Oct-18,50,2,52
23-Oct-18,104,2,106
26-Oct-18,89,6,95
1-Nov-18,61,15,76
,,,
,,,
26-Sep-17,12,0,12
2-Oct-17,26,0,26
6-Oct-11,28,1,29
11-Oct-17,45,0,45
14-Oct-17,90,0,90
17-Oct-17,50,0,50
20-Oct-17,70,1,71
23-Oct-17,52,5,57
26-Oct-17,48,3,51
31-Oct-17,37,3,40
,,,
,,,
,,,
29-Sep-16,93,5,98
7-Oct-16,226,3,229
11-Oct-16,297,2,299
14-Oct-16,210,1,211
17-Oct-16,348,4,352
20-Oct-16,270,7,277
23-Oct-16,159,18,177
27-Oct-16,57,33,90
31-Oct-16,65,34,99
,,,
,,,
24-Sep-15,27,,27
1-Oct-15,82,2,84
5-Oct-15,54,2,56
9-Oct-15,20,0,20
13-Oct-15,75,1,76
16-Oct-15,86,4,90
19-Oct-15,68,2,70
22-Oct-15,61,4,65
25-Oct-15,29,8,37
29-Oct-15,12,8,20
5-Nov-15,0,0,0
,,,
,,,
3-Oct-14,223,1,224
10-Oct-14,666,3,669
16-Oct-14,567,3,570
19-Oct-14,791,34,825
22-Oct-14,459,14,473
24-Oct-14,585,29,614
27-Oct-14,409,41,450
30-Oct-14,206,55,261
6-Nov-14,35,17,52
,,,
,,,
19-Sep-13,18,0,18
26-Sep-13,141,1,142
3-Oct-13,356,0,356
7-Oct-13,557,0,557
11-Oct-13,779,3,782
15-Oct-13,1238,6,1244
18-Oct-13,1220,3,1223
21-Oct-13,733,11,744
25-Oct-13,563,42,605
29-Oct-13,217,18,235
4-Nov-13,109,45,154
,,,
,,,
19-Sep-12,323,4,327
27-Sep-12,305,12,317
3-Oct-12,310,20,330
7-Oct-12,1441,14,1455
11-Oct-12,1548,10,1558
14-Oct-12,1069,21,1090
17-Oct-12,647,32,679
20-Oct-12,1162,28,1190
24-Oct-12,1320,14,1334
27-Oct-12,233,1,234
31-Oct-12,468,34,502
6-Nov-12,46,49,95
15-Nov-12,3,31,34
,,,
,,,
14-Sep-11,17,6,6
21-Sep-11,87,0,0
26-Sep-11,83,1,1
30-Sep-11,262,5,5
2-Oct-11,371,8,8
5-Oct-11,480,2,2
8-Oct-11,1180,30,30
11-Oct-11,379,14,14
14-Oct-11,851,6,6
17-Oct-11,860,4,4
20-Oct-11,1010,32,32
23-Oct-11,767,41,41
26-Oct-11,470,69,69
29-Oct-11,514,61,61
1-Nov-11,286,85,85
4-Nov-11,211,67,67
7-Nov-11,100,87,87
10-Nov-11,66,75,75
,,,
,,,
7-Sep-10,2375,67,2442
14-Sep-10,4401,70,4471
21-Sep-10,4403,66,4469
27-Sep-10,5675,63,5738
1-Oct-10,6464,117,6581
4-Oct-10,4992,49,5041
7-Oct-10,4199,85,4284
10-Oct-10,4174,87,4261
13-Oct-10,618,65,683
16-Oct-10,2670,80,2739
19-Oct-10,1456,63,1519
22-Oct-10,1039,105,1144
25-Oct-10,955,116,1071
28-Oct-10,674,147,821
4-Nov-10,105,232,337
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
13-Oct-09,1835,2,1837
16-Oct-09,1678,1,1679
19-Oct-09,3171,1,3172
22-Oct-09,2368,4,2372
25-Oct-09,1326,6,1332
29-Oct-09,742,45,787
2-Nov-09,352,113,465
9-Nov-09,57,213,270
16-Nov-09,1,157,158
24-Nov-09,0,154,154
