date,stream,count
9/29/2010,NA,150
10/9/2010,NA,50
10/14/2010,NA,4
10/20/2010,NA,5075
10/25/2010,NA,14818
10/28/2010,NA,13769
11/1/2010,NA,11808
11/3/2010,NA,19902
11/5/2010,NA,11087
11/7/2010,NA,21068
11/8/2010,NA,8938
11/10/2010,NA,12651
11/16/2010,NA,1478
11/24/2010,NA,42
9/29/2011,Penticton Channel,251
10/6/2011,Penticton Channel,1160
10/12/2011,Penticton Channel,3966
10/15/2011,Penticton Channel,10958
10/18/2011,Penticton Channel,17860
10/21/2011,Penticton Channel,25370
10/24/2011,Penticton Channel,24080
10/28/2011,Penticton Channel,18403
10/31/2011,Penticton Channel,26171
11/5/2011,Penticton Channel,13725
11/8/2011,Penticton Channel,8310
11/15/2011,Penticton Channel,661
9/21/2012,Okanagan River,40
9/28/2012,Okanagan River,42
10/4/2012,Okanagan River,571
10/4/2012,Shingle Creek,9
10/9/2012,Okanagan River,2441
10/9/2012,Shingle Creek,9
10/12/2012,Okanagan River,2450
10/18/2012,Okanagan River,3824
10/21/2012,Okanagan River,10456
10/25/2012,Okanagan River,15950
11/1/2012,Okanagan River,16130
11/5/2012,Okanagan River,24610
11/8/2012,Okanagan River,13080
11/13/2012,Okanagan River,1555
11/20/2012,Okanagan River,60
9/20/2013,Okanagan River,11
9/20/2013,Shingle Creek,2
9/27/2013,Okanagan River,135
9/27/2013,Shingle Creek,2
10/4/2013,Okanagan River,1302
10/9/2013,Okanagan River,3093
10/12/2013,Okanagan River,5946
10/16/2013,Okanagan River,13234
10/21/2013,Okanagan River,17764
10/24/2013,Okanagan River,23432
10/27/2013,Okanagan River,14364
10/31/2013,Okanagan River,3906
11/5/2013,Okanagan River,2047
11/12/2013,Okanagan River,20
9/23/2014,Okanagan River,18
10/4/2014,Okanagan River,1387
10/4/2014,Shingle Creek,36
10/9/2014,Okanagan River,6339
10/9/2014,Shingle Creek,61
10/16/2014,Okanagan River,22370
10/16/2014,Shingle Creek,17
10/20/2014,Okanagan River,22700
10/20/2014,Shingle Creek,94
10/25/2014,Okanagan River,26140
10/25/2014,Shingle Creek,141
10/28/2014,Okanagan River,13840
10/28/2014,Shingle Creek,189
10/31/2014,Okanagan River,27780
10/31/2014,Shingle Creek,72
11/4/2014,Okanagan River,10380
11/4/2014,Shingle Creek,30
11/7/2014,Okanagan River,18365
11/7/2014,Shingle Creek,2
11/12/2014,Okanagan River,4938
9/22/2015,Okanagan River,1160
9/29/2015,Okanagan River,4041
10/4/2015,Okanagan River,12181
10/4/2015,Shingle Creek,1
10/10/2015,Okanagan River,20878
10/14/2015,Okanagan River,19983
10/20/2015,Okanagan River,34300
10/20/2015,Shingle Creek,385
10/23/2015,Okanagan River,29830
10/23/2015,Shingle Creek,507
10/26/2015,Okanagan River,20397
10/26/2015,Shingle Creek,247
10/30/2015,Okanagan River,3545
10/30/2015,Shingle Creek,153
11/4/2015,Okanagan River,2036
11/4/2015,Shingle Creek,3
10/3/2016,Okanagan River,2611
10/12/2016,Okanagan River,35010
10/18/2016,Okanagan River,44767
10/18/2016,Shingle Creek,7
10/21/2016,Okanagan River,37015
10/24/2016,Okanagan River,32160
10/24/2016,Shingle Creek,1
10/28/2016,Okanagan River,27130
11/3/2016,Okanagan River,2855
10/3/2017,Okanagan River,784
10/12/2017,Okanagan River,1888
10/18/2017,Okanagan River,2137
10/21/2017,Okanagan River,2471
10/21/2017,Shingle Creek,9
10/24/2017,Okanagan River,3691
10/24/2017,Shingle Creek,5
10/28/2017,Okanagan River,18965
10/28/2017,Shingle Creek,11
11/2/2017,Okanagan River,35721
11/2/2017,Shingle Creek,7
11/6/2017,Okanagan River,31308
11/6/2017,Shingle Creek,2
11/14/2017,Okanagan River,2383
10/4/2018,Okanagan River,1081
10/4/2018,Shingle Creek,7
10/10/2018,Okanagan River,10643
10/10/2018,Shingle Creek,50
10/15/2018,Okanagan River,28118
10/15/2018,Shingle Creek,127
10/19/2018,Okanagan River,32840
10/19/2018,Shingle Creek,461
10/22/2018,Okanagan River,44600
10/22/2018,Shingle Creek,630
10/25/2018,Okanagan River,31525
10/25/2018,Shingle Creek,792
10/29/2018,Okanagan River,14741
10/29/2018,Shingle Creek,422
11/2/2018,Okanagan River,6956
11/2/2018,Shingle Creek,35
10/3/2019,Okanagan River,550
10/10/2019,Okanagan River,1596
10/18/2019,Okanagan River,7236
10/21/2019,Okanagan River,5898
10/24/2019,Okanagan River,5716
10/28/2019,Okanagan River,4696
10/31/2019,Okanagan River,25999
11/4/2019,Okanagan River,16020
11/8/2019,Okanagan River,30165
11/14/2019,Okanagan River,7729
10/5/2020,Okanagan River,3642
10/5/2020,Shingle Creek,25
10/9/2020,Okanagan River,11506
10/9/2020,Shingle Creek,428
10/13/2020,Okanagan River,12175
10/17/2020,Okanagan River,29527
10/17/2020,Shingle Creek,6145
10/19/2020,Okanagan River,24562
10/19/2020,Shingle Creek,5313
10/27/2020,Okanagan River,21857
10/27/2020,Shingle Creek,5371
11/2/2020,Okanagan River,21494
11/2/2020,Shingle Creek,3327
11/5/2020,Okanagan River,15440
11/9/2020,Okanagan River,4713
11/9/2020,Shingle Creek,939
10/7/2021,Okanagan River,16091
10/7/2021,Shingle Creek,5
10/12/2021,Okanagan River,26921
10/12/2021,Shingle Creek,21
10/14/2021,Okanagan River,24925
10/14/2021,Shingle Creek,50
10/18/2021,Okanagan River,28660
10/18/2021,Shingle Creek,216
10/21/2021,Okanagan River,29582
10/21/2021,Shingle Creek,763
10/26/2021,Okanagan River,10769
10/26/2021,Shingle Creek,570
10/28/2021,Okanagan River,9767
10/28/2021,Shingle Creek,458
11/3/2021,Okanagan River,5667
11/3/2021,Shingle Creek,249
10/5/2022,Okanagan River,2496
10/11/2022,Okanagan River,14920
10/13/2022,Okanagan River,16167
10/13/2022,Shingle Creek,8
10/17/2022,Okanagan River,27754
10/17/2022,Shingle Creek,1826
10/20/2022,Okanagan River,23368
10/20/2022,Shingle Creek,571
10/25/2022,Okanagan River,15540
10/25/2022,Shingle Creek,589
10/27/2022,Okanagan River,9377
10/27/2022,Shingle Creek,1392
11/1/2022,Okanagan River,24757
11/1/2022,Shingle Creek,176
11/4/2022,Okanagan River,9640
11/4/2022,Shingle Creek,73
