index_date,index_live,index_dead,index_total,,channel_date,channel_live,channel_dead,channel_total
,,,,,,,,
29-Sep-22,7623,,7623,,29-Sep-22,NA,,NA
4-Oct-22,14138,,14138,,4-Oct-22,197,,197
12-Oct-22,20995,,20995,,12-Oct-22,590,,590
14-Oct-22,26000,,26000,,14-Oct-22,853,,853
16-Oct-22,31820,,31820,,16-Oct-22,686,,686
18-Oct-22,26250,,26250,,18-Oct-22,944,,944
24-Oct-22,22430,,22430,,24-Oct-22,1036,,1036
28-Oct-22,22146,,22146,,28-Oct-22,863,,863
3-Nov-22,11154,,11154,,3-Nov-22,580,,580
,,,,,,,,
27-Sep-21,157,,157,,27-Sep-21,NA,,NA
5-Oct-21,1865,,1865,,5-Oct-21,215,,215
13-Oct-21,5565,,5565,,13-Oct-21,646,,646
15-Oct-21,5300,,5300,,15-Oct-21,584,,584
17-Oct-21,6234,,6234,,17-Oct-21,428,,428
19-Oct-21,4861,,4861,,19-Oct-21,564,,564
22-Oct-21,3938,,3938,,22-Oct-21,397,,397
25-Oct-21,2294,,2294,,25-Oct-21,255,,255
29-Oct-21,864,,864,,29-Oct-21,116,,116
4-Nov-21,247,,247,,4-Nov-21,58,,58
,,,,,,,,
25-Sep-20,650,,650,,25-Sep-20,62,,62
6-Oct-20,4966,,4966,,6-Oct-20,286,,286
10-Oct-20,8403,,8403,,10-Oct-20,521,,521
14-Oct-20,17035,,17035,,14-Oct-20,856,,856
18-Oct-20,26532,,26532,,18-Oct-20,735,,735
20-Oct-20,18091,,18091,,20-Oct-20,927,,927
23-Oct-20,23935,,23935,,23-Oct-20,529,,529
26-Oct-20,18570,,18570,,26-Oct-20,741,,741
30-Oct-20,10426,,10426,,30-Oct-20,618,,618
6-Nov-20,2843,,2843,,6-Nov-20,281,,281
,,,,,,,,
27-Sep-19,112,5,117,,27-Sep-19,0,0,0
4-Oct-19,1586,4,"1,590",,4-Oct-19,92,0,92
9-Oct-19,3365,1,"3,366",,9-Oct-19,167,0,167
13-Oct-19,6058,21,"6,079",,13-Oct-19,387,1,388
16-Oct-19,6555,22,"6,577",,16-Oct-19,374,2,376
19-Oct-19,6258,33,"6,291",,19-Oct-19,311,0,311
22-Oct-19,5246,124,"5,370",,22-Oct-19,312,3,315
25-Oct-19,4391,147,"4,538",,25-Oct-19,221,7,228
30-Oct-19,2271,192,"2,463",,30-Oct-19,148,10,158
6-Nov-19,441,157,598,,6-Nov-19,na,na,na
,,,,,,,,
,,,,,,,,
28-Sep-18,666,4,670,,28-Sep-18,,,
3-Oct-18,2443,2,"2,445",,3-Oct-18,538,0,538
6-Oct-18,5485,1,"5,486",,6-Oct-18,784,2,786
11-Oct-18,14608,20,"14,628",,11-Oct-18,955,1,956
14-Oct-18,14580,59,"14,639",,14-Oct-18,1074,2,"1,076"
17-Oct-18,15904,171,"16,075",,17-Oct-18,907,5,912
21-Oct-18,15820,"1,141","16,961",,21-Oct-18,691,23,714
23-Oct-18,11280,"1,867","13,147",,23-Oct-18,758,43,801
26-Oct-18,7104,"2,429","9,533",,26-Oct-18,644,70,714
1-Nov-18,1360,775,"2,135",,1-Nov-18,220,85,305
,,,,,,,,
,,,,,,,,
26-Sep-17,563,5,568,,26-Sep-17,15,1,16
2-Oct-17,726,4,730,,2-Oct-17,34,0,34
6-Oct-11,2062,10,"2,072",,6-Oct-11,235,0,235
11-Oct-17,4271,16,"4,287",,11-Oct-17,462,1,463
14-Oct-17,3851,32,"3,883",,14-Oct-17,682,0,682
17-Oct-17,3599,31,"3,630",,17-Oct-17,400,0,400
20-Oct-17,3827,119,"3,946",,20-Oct-17,668,0,668
23-Oct-17,3289,238,"3,527",,23-Oct-17,642,8,650
26-Oct-17,2357,530,"2,887",,26-Oct-17,452,18,470
31-Oct-17,845,371,"1,216",,31-Oct-17,310,21,331
,,,,,,,,
,,,,,,,,
19-Sep-16,37,3,40,,19-Sep-16,na,na,na
29-Sep-16,3147,3,"3,150",,29-Sep-16,142,0,142
7-Oct-16,15531,12,"15,543",,7-Oct-16,848,1,849
11-Oct-16,23239,35,"23,274",,11-Oct-16,1159,0,"1,159"
14-Oct-16,24546,120,"24,666",,14-Oct-16,1054,0,"1,054"
17-Oct-16,41560,264,"41,824",,17-Oct-16,1100,1,"1,101"
20-Oct-16,26012,826,"26,838",,20-Oct-16,946,6,952
23-Oct-16,14176,"2,758","16,934",,23-Oct-16,972,49,"1,021"
27-Oct-16,6424,"4,107","10,531",,27-Oct-16,716,178,894
31-Oct-16,2324,"1,716","4,040",,31-Oct-16,237,206,443
,,,,,,,,
,,,,,,,,
24-Sep-15,194,1,195,,24-Sep-15,3,1,4
1-Oct-15,856,5,861,,1-Oct-15,2,0,2
5-Oct-15,1873,8,"1,881",,5-Oct-15,58,0,58
9-Oct-15,3783,13,"3,796",,9-Oct-15,131,0,131
13-Oct-15,5648,81,"5,729",,13-Oct-15,292,4,296
16-Oct-15,5589,145,"5,734",,16-Oct-15,549,1,550
19-Oct-15,5029,468,"5,497",,19-Oct-15,507,9,516
22-Oct-15,3382,953,"4,335",,22-Oct-15,427,14,114
25-Oct-15,2016,"1,092","3,108",,25-Oct-15,268,19,287
29-Oct-15,910,724,"1,634",,29-Oct-15,170,28,198
5-Nov-15,156,334,490,,5-Nov-15,40,25,65
,,,,,,,,
,,,,,,,,
3-Oct-14,17740,12,"17,752",,3-Oct-14,522,6,528
10-Oct-14,37920,#REF!,#REF!,,10-Oct-14,721,1,722
16-Oct-14,64624,516,"65,140",,16-Oct-14,948,13,961
19-Oct-14,79680,"2,103","81,783",,19-Oct-14,828,10,838
22-Oct-14,67073,"4,253","71,326",,22-Oct-14,1968,38,"2,006"
24-Oct-14,60914,"7,845","68,759",,24-Oct-14,2940,87,"3,027"
27-Oct-14,42905,"10,575","53,480",,27-Oct-14,2280,191,"2,471"
30-Oct-14,26020,"29,315","55,335",,30-Oct-14,1570,277,"1,847"
6-Nov-14,4069,"11,218","15,287",,6-Nov-14,309,661,970
,,,,,,,,
,,,,,,,,
19-Sep-13,0,2,2,,19-Sep-13,2,0,2
26-Sep-13,611,13,624,,26-Sep-13,39,1,40
3-Oct-13,6312,21,"6,333",,3-Oct-13,664,2,666
7-Oct-13,10189,14,"10,203",,7-Oct-13,706,1,707
11-Oct-13,17398,51,"17,449",,11-Oct-13,730,0,730
15-Oct-13,21353,121,"21,474",,15-Oct-13,622,1,623
18-Oct-13,19760,552,"20,312",,18-Oct-13,514,4,518
21-Oct-13,9110,"2,285","11,395",,21-Oct-13,762,26,788
25-Oct-13,6806,"5,717","12,523",,25-Oct-13,433,87,520
29-Oct-13,2429,"1,683","4,112",,29-Oct-13,223,83,306
4-Nov-13,508,"1,806","2,326",,4-Nov-13,116,71,187
,,,,,,,,
,,,,,,,,
19-Sep-12,996,9,"1,005",,19-Sep-12,40,2,42
27-Sep-12,3919,36,"3,955",,27-Sep-12,61,5,66
3-Oct-12,6426,18,"6,444",,3-Oct-12,589,4,593
7-Oct-12,33515,48,"33,563",,7-Oct-12,526,3,529
11-Oct-12,35748,52,"35,800",,11-Oct-12,742,5,747
14-Oct-12,34529,114,"34,643",,14-Oct-12,836,1,837
17-Oct-12,44931,597,"45,528",,17-Oct-12,932,9,941
20-Oct-12,44849,"2,806","47,655",,20-Oct-12,964,22,986
24-Oct-12,29878,"5,964","35,842",,24-Oct-12,767,67,834
27-Oct-12,18298,"7,199","25,497",,27-Oct-12,700,92,792
31-Oct-12,10345,"5,673","16,018",,31-Oct-12,622,143,765
6-Nov-12,3489,"9,785","13,274",,6-Nov-12,94,100,194
15-Nov-12,281,"8,413","8,694",,15-Nov-12,53,379,432
,,,,,,,,
,,,,,,,,
14-Sep-11,12,0,12,,14-Sep-11,0,0,0
21-Sep-11,27,2,29,,21-Sep-11,4,0,4
26-Sep-11,312,1,313,,26-Sep-11,3,0,3
30-Sep-11,1199,2,"1,201",,30-Sep-11,184,1,185
2-Oct-11,3042,0,"3,045",,2-Oct-11,109,0,109
5-Oct-11,5272,5,"5,277",,5-Oct-11,569,0,569
8-Oct-11,6850,15,"6,865",,8-Oct-11,692,0,692
11-Oct-11,13870,55,"13,925",,11-Oct-11,818,1,819
14-Oct-11,17698,104,"17,802",,14-Oct-11,775,0,775
17-Oct-11,18771,413,"19,184",,17-Oct-11,733,3,736
20-Oct-11,20409,"2,096","22,505",,20-Oct-11,665,16,681
23-Oct-11,13824,"3,354","17,178",,23-Oct-11,612,25,637
26-Oct-11,9434,"2,418","11,852",,26-Oct-11,496,57,553
29-Oct-11,4386,"2,984","7,370",,29-Oct-11,358,68,426
1-Nov-11,2957,"2,471","5,428",,1-Nov-11,352,61,413
4-Nov-11,1758,"3,542","5,300",,4-Nov-11,184,48,232
7-Nov-11,1051,"5,182","6,233",,7-Nov-11,165,71,236
10-Nov-11,531,"3,900","4,431",,10-Nov-11,61,59,120
,,,,,,,,
,,,,,,,,
7-Sep-10,824,19,843,,7-Sep-10,28,1,29
14-Sep-10,3210,24,"3,234",,14-Sep-10,71,2,73
21-Sep-10,no count / high turbidity,,,,21-Sep-10,,,
27-Sep-10,27440,62,"27,502",,27-Sep-10,601,1,602
1-Oct-10,57380,52,"57,432",,1-Oct-10,671,3,674
4-Oct-10,39780,171,"39,951",,4-Oct-10,537,2,539
7-Oct-10,68990,207,"69,197",,7-Oct-10,1247,11,"1,258"
10-Oct-10,80430,"1,084","81,514",,10-Oct-10,909,31,940
13-Oct-10,81380,"1,344","82,724",,13-Oct-10,844,21,855
16-Oct-10,87190,"5,942","93,132",,16-Oct-10,971,43,"1,014"
19-Oct-10,57770,"8,371","66,141",,19-Oct-10,716,75,791
22-Oct-10,45383,"9,435","54,908",,22-Oct-10,657,87,744
25-Oct-10,32610,"12,937","45,547",,25-Oct-10,471,116,587
28-Oct-10,20810,"13,170","33,980",,28-Oct-10,272,142,414
4-Nov-10,3023,"13,725","16,748",,4-Nov-10,119,216,335
,,,,,,,,
,,,,,,,,
16-Sep-09,222,0,222,,16-Sep-09,7,0,7
23-Sep-09,512,4,516,,23-Sep-09,31,0,31
28-Sep-09,1121,4,"1,125",,28-Sep-09,36,1,37
2-Oct-09,5755,1,"5,756",,2-Oct-09,152,0,152
4-Oct-09,9264,3,"9,267",,4-Oct-09,395,0,395
7-Oct-09,19461,4,"19,465",,7-Oct-09,465,1,466
10-Oct-09,24369,16,"24,385",,10-Oct-09,659,4,663
13-Oct-09,25182,38,"25,220",,13-Oct-09,643,2,645
16-Oct-09,31961,246,"32,207",,16-Oct-09,600,2,602
19-Oct-09,39618,960,"40,578",,19-Oct-09,577,1,578
22-Oct-09,32614,"2,582","35,196",,22-Oct-09,584,6,590
25-Oct-09,22948,"8,089","31,037",,25-Oct-09,479,34,513
29-Oct-09,6304,"4,318","10,622",,29-Oct-09,244,93,337
2-Nov-09,1927,"4,140","6,067",,2-Nov-09,180,142,322
9-Nov-09,327,"7,160","7,487",,9-Nov-09,,,
16-Nov-09,28,"5,690","5,718",,16-Nov-09,2,177,179
24-Nov-09,8,"10,014","10,022",,24-Nov-09,1,172,173
,,,,,,,,
,,,,,,,,
17-Sep-08,1599,1,"1,600",,18-Sep-08,118,1,119
24-Sep-08,4423,5,"4,428",,24-Sep-08,554,2,556
29-Sep-08,16980,11,"16,991",,29-Sep-08,1187,0,"1,187"
2-Oct-08,25285,12,"25,297",,2-Oct-08,,,
5-Oct-08,51144,13,"51,157",,5-Oct-08,1384,0,"1,384"
8-Oct-08,43496,139,"43,635",,8-Oct-08,1377,1,"1,378"
11-Oct-08,52418,213,"52,631",,11-Oct-08,1413,2,"1,415"
14-Oct-08,70618,"1,004","71,622",,14-Oct-08,965,11,976
17-Oct-08,46032,"2,733","48,765",,17-Oct-08,1113,34,"1,147"
20-Oct-08,42720,"4,481","47,201",,20-Oct-08,19,32,51
23-Oct-08,29077,"3,766","32,843",,23-Oct-08,977,152,"1,129"
28-Oct-08,18288,"11,392","29,680",,28-Oct-08,642,350,992
30-Oct-08,13225,"13,782","27,007",,30-Oct-08,556,398,954
5-Nov-08,2421,"12,082","14,503",,5-Nov-08,304,321,625
,,,,,,,,
,,,,,,,,
3-Oct-07,949,0,949,,3-Oct-07,72,0,72
9-Oct-07,4107,0,"4,107",,9-Oct-07,81,0,81
12-Oct-07,8201,9,"8,210",,12-Oct-07,72,1,73
17-Oct-07,6117,144,"6,261",,17-Oct-07,102,0,102
19-Oct-07,6627,140,"6,767",,19-Oct-07,74,0,74
24-Oct-07,5225,719,"5,944",,24-Oct-07,92,4,96
27-Oct-07,3526,451,"3,977",,27-Oct-07,285,212,497
30-Oct-07,1579,854,"2,433",,30-Oct-07,65,10,75
2-Nov-07,718,388,"1,106",,2-Nov-07,,,
5-Nov-07,361,547,908,,5-Nov-07,35,13,48
,,,,,,,,
,,,,,,,,
22-Sep-06,31,0,31,,22-Sep-06,6,1,7
27-Sep-06,466,0,466,,27-Sep-06,25,0,25
3-Oct-06,1704,2,"1,706",,3-Oct-06,194,0,194
6-Oct-06,3385,31,"3,416",,6-Oct-06,432,0,432
10-Oct-06,4897,0,"4,897",,10-Oct-06,614,3,617
13-Oct-06,6605,120,"6,725",,13-Oct-06,1070,0,"1,070"
16-Oct-06,8980,398,"9,378",,16-Oct-06,974,0,974
19-Oct-06,8290,577,"8,867",,19-Oct-06,952,1,953
22-Oct-06,16704,912,"17,616",,22-Oct-06,468,2,470
25-Oct-06,6915,"1,405","8,320",,25-Oct-06,542,3,545
30-Oct-06,2237,711,"2,948",,30-Oct-06,307,21,328
3-Nov-06,1334,649,"1,983",,3-Nov-06,188,33,221
,,,,,,,,
,,,,,,,,
13-Sep-05,43,0,43,,13-Sep-05,3,0,3
20-Sep-05,212,0,212,,20-Sep-05,7,0,7
27-Sep-05,788,0,788,,27-Sep-05,151,0,151
4-Oct-05,6499,0,"6,499",,4-Oct-05,597,0,597
10-Oct-05,14115,13,"14,128",,,,,
13-Oct-05,17370,189,"17,559",,13-Oct-05,755,1,756
16-Oct-05,16041,496,"16,537",,16-Oct-05,655,6,661
19-Oct-05,21787,"1,778","23,565",,19-Oct-05,568,28,596
22-Oct-05,7759,"2,690","10,449",,22-Oct-05,714,96,810
25-Oct-05,5356,"4,150","9,506",,25-Oct-05,262,149,411
28-Oct-05,1758,"7,153","8,911",,28-Oct-05,145,115,260
3-Nov-05,319,"1,699","2,018",,3-Nov-05,73,50,123
,,,,,,,,
,,,,,,,,
15-Sep-04,15,0,15,,15-Sep-04,0,0,0
20-Sep-04,267,0,267,,20-Sep-04,36,0,36
25-Sep-04,1353,0,"1,353",,25-Sep-04,84,0,84
30-Sep-04,5399,1,"5,400",,30-Sep-04,134,1,135
4-Oct-04,12478,6,"12,484",,,,,
7-Oct-04,20986,63,"21,049",,7-Oct-04,257,2,259
10-Oct-04,19922,266,"20,188",,10-Oct-04,227,0,227
14-Oct-04,19005,669,"19,674",,,,,
19-Oct-04,16966,"3,410","20,376",,,,,
22-Oct-04,14969,"4,169","19,138",,22-Oct-04,224,30,254
27-Oct-04,3786,"6,245","10,031",,27-Oct-04,194,43,237
3-Nov-04,739,"3,397","4,136",,29-Oct-04,374,0,374
,,,,,2-Nov-04,161,25,186
,,,,,,,,
,,,,,,,,
17-Sep-03,19,0,19,,17-Sep-03,0,0,0
26-Sep-03,577,0,577,,26-Sep-03,6,0,6
3-Oct-03,2318,5,"2,323",,3-Oct-03,128,0,128
8-Oct-03,5390,34,"5,424",,8-Oct-03,25,15,40
14-Oct-03,9286,62,"9,348",,14-Oct-03,160,0,160
18-Oct-03,10036,198,"10,234",,17-Oct-03,155,1,156
21-Oct-03,9164,569,"9,733",,21-Oct-03,263,0,263
24-Oct-03,5110,"1,144","6,254",,24-Oct-03,117,4,121
27-Oct-03,3007,"1,785","4,792",,27-Oct-03,110,6,116
3-Nov-03,341,700,"1,041",,3-Nov-03,51,5,56
,,,,,,,,
,,,,,,,,
28-Aug-02,0,0,0,,28-Aug-02,0,0,0
11-Sep-02,18,0,18,,11-Sep-02,2,0,2
20-Sep-02,3,0,3,,16-Sep-02,1,0,1
24-Sep-02,26,0,26,,24-Sep-02,4,0,4
2-Oct-02,141,0,141,,2-Oct-02,11,0,11
7-Oct-02,702,2,704,,7-Oct-02,223,0,223
12-Oct-02,1315,14,"1,329",,12-Oct-02,153,0,153
17-Oct-02,2088,9,"2,097",,17-Oct-02,494,0,494
22-Oct-02,2322,33,"2,355",,22-Oct-02,433,1,434
25-Oct-02,2086,103,"2,189",,25-Oct-02,568,1,569
30-Oct-02,562,145,707,,30-Oct-02,189,2,191
,,,,,,,,
,,,,,,,,
5-Sep-01,5,0,5,,,not surveyed,,
11-Sep-01,42,0,42,,,,,
18-Sep-01,212,0,212,,,,,
25-Sep-01,699,0,699,,,,,
1-Oct-01,3426,0,"3,426",,,,,
5-Oct-01,7777,0,"7,777",,,,,
10-Oct-01,17400,0,"17,400",,,,,
15-Oct-01,21218,75,"21,293",,,,,
20-Oct-01,22111,"1,322","23,433",,,,,
25-Oct-01,11592,"6,607","18,199",,,,,
30-Oct-01,1635,"6,643","8,278",,,,,
,,,,,,,,
,,,,,,,,
5-Sep-00,20,0,20,,5-Sep-00,0,,0
13-Sep-00,101,0,101,,13-Sep-00,62,,62
20-Sep-00,49,0,49,,20-Sep-00,0,,0
27-Sep-00,771,0,771,,27-Sep-00,88,,0
4-Oct-00,6551,2,"6,553",,3-Oct-00,557,,557
7-Oct-00,11279,52,"11,331",,7-Oct-00,,,
10-Oct-00,13822,88,"13,910",,10-Oct-00,343,,343
16-Oct-00,12859,"1,670","14,529",,16-Oct-00,634,,634
21-Oct-00,3464,"3,253","6,717",,21-Oct-00,361,,361
25-Oct-00,1404,"2,336","3,740",,25-Oct-00,,,
30-Oct-00,196,921,"1,117",,30-Oct-00,123,,123
